,pawn,knight,bishop,rook,queen,king1,king2
0,0,-50,-20,0,-20,20,-50
1,0,-40,-10,0,-10,30,-30
2,0,-30,-10,0,-10,10,-30
3,0,-30,-10,5,-5,0,-30
4,0,-30,-10,5,-5,0,-30
5,0,-30,-10,0,-10,10,-30
6,0,-40,-10,0,-10,30,-30
7,0,-50,-20,0,-20,20,-50
8,5,-40,-10,-5,-10,20,-30
9,10,-20,5,0,0,20,-30
10,10,0,0,0,5,0,0
11,-20,5,0,0,0,0,0
12,-20,5,0,0,0,0,0
13,10,0,0,0,0,0,0
14,10,-20,5,0,0,20,-30
15,5,-40,-10,-5,-10,20,-30
16,5,-30,-10,-5,-10,-10,-30
17,-5,5,10,0,5,-20,-10
18,-10,10,10,0,5,-20,20
19,0,15,10,0,5,-20,30
20,0,15,10,0,5,-20,30
21,-10,10,10,0,5,-20,20
22,-5,5,10,0,0,-20,-10
23,5,-30,-10,-5,-10,-10,-30
24,0,-30,-10,-5,0,-20,-30
25,0,0,0,0,0,-30,-10
26,0,15,10,0,5,-30,30
27,20,20,10,0,5,-40,40
28,20,20,10,0,5,-40,40
29,0,15,10,0,5,-30,30
30,0,0,0,0,0,-30,-10
31,0,-30,-10,-5,-5,-20,-30
32,5,-30,-10,-5,-5,-30,-30
33,5,5,5,0,0,-40,-10
34,10,15,5,0,5,-40,30
35,25,20,10,0,5,-50,40
36,25,20,10,0,5,-50,40
37,10,15,5,0,5,-40,30
38,5,5,5,0,0,-40,-10
39,5,-30,-10,-5,-5,-30,-30
40,10,-30,-10,-5,-10,-30,-30
41,10,0,0,0,0,-40,-10
42,20,10,5,0,5,-40,20
43,30,15,10,0,5,-50,30
44,30,15,10,0,5,-50,30
45,20,10,5,0,5,-40,20
46,10,0,0,0,0,-40,-10
47,10,-30,-10,-5,-10,-30,-30
48,50,-40,-10,5,-10,-30,-30
49,50,-20,0,10,0,-40,-20
50,50,0,0,10,0,-40,-10
51,50,0,0,10,0,-50,0
52,50,0,0,10,0,-50,0
53,50,0,0,10,0,-40,-10
54,50,-20,0,10,0,-40,-20
55,50,-40,-10,5,-10,-30,-30
56,0,-50,-20,0,-20,-30,-50
57,0,-40,-10,0,-10,-40,-40
58,0,-30,-10,0,-10,-40,-30
59,0,-30,-10,0,-5,-50,-20
60,0,-30,-10,0,-5,-50,-20
61,0,-30,-10,0,-10,-40,-30
62,0,-40,-10,0,-10,-40,-40
63,0,-50,-20,0,-20,-30,-50
